PLAYER_NAME,Center,Forward,Guard,Position
Al Horford,True,True,False,FC
Aleksej Pokusevski,True,False,False,C
Alex Len,True,False,False,C
Amida Brimah,True,False,False,C
Andre Drummond,True,False,False,C
Anthony Davis,True,True,False,FC
Anzejs Pasecniks,True,True,False,FC
Aron Baynes,True,True,False,FC
Bam Adebayo,True,True,False,FC
Bismack Biyombo,True,False,False,C
Boban Marjanovic,True,False,False,C
Bol Bol,True,True,False,FC
Brook Lopez,True,False,False,C
Bruno Fernando,True,True,False,FC
Chimezie Metu,True,True,False,FC
Chris Boucher,True,True,False,FC
Clint Capela,True,False,False,C
Cody Zeller,True,True,False,FC
Cristiano Felicio,True,True,False,FC
Damian Jones,True,False,False,C
Daniel Gafford,True,True,False,FC
Daniel Oturu,True,False,False,C
Daniel Theis,True,True,False,FC
Dario Saric,True,True,False,FC
DeAndre Jordan,True,False,False,C
DeMarcus Cousins,True,False,False,C
Dean Wade,True,True,False,FC
Deandre Ayton,True,False,False,C
Dewayne Dedmon,True,False,False,C
Domantas Sabonis,True,True,False,FC
Donta Hall,True,False,False,C
Drew Eubanks,True,True,False,FC
Dwight Howard,True,True,False,FC
Dwight Powell,True,True,False,FC
Ed Davis,True,True,False,FC
Enes Kanter,True,False,False,C
Frank Kaminsky,True,True,False,FC
Goga Bitadze,True,True,False,FC
Gorgui Dieng,True,False,False,C
Harry Giles III,True,True,False,FC
Hassan Whiteside,True,False,False,C
Henry Ellenson,True,True,False,FC
Isaiah Hartenstein,True,True,False,FC
Isaiah Stewart,True,True,False,FC
Ivica Zubac,True,False,False,C
JaMychal Green,True,True,False,FC
JaVale McGee,True,True,False,FC
Jahlil Okafor,True,True,False,FC
Jakob Poeltl,True,False,False,C
Jalen McDaniels,True,True,False,FC
Jalen Smith,True,True,False,FC
James Wiseman,True,False,False,C
Jaren Jackson Jr.,True,True,False,FC
Jarrett Allen,True,False,False,C
Jaxson Hayes,True,True,False,FC
Joel Embiid,True,True,False,FC
John Collins,True,True,False,FC
Jonas Valanciunas,True,False,False,C
Jontay Porter,True,True,False,FC
Julius Randle,True,True,False,FC
Justin Patton,True,False,False,C
Jusuf Nurkic,True,False,False,C
Karl-Anthony Towns,True,True,False,FC
Kelly Olynyk,True,True,False,FC
Kevin Love,True,True,False,FC
Khem Birch,True,False,False,C
Killian Tillie,True,True,False,FC
Kristaps Porzingis,True,True,False,FC
LaMarcus Aldridge,True,True,False,FC
Larry Nance Jr.,True,True,False,FC
Lauri Markkanen,True,True,False,FC
Luke Kornet,True,True,False,FC
Marc Gasol,True,False,False,C
Marques Bolden,True,False,False,C
Mason Plumlee,True,True,False,FC
Meyers Leonard,True,True,False,FC
Mfiondu Kabengele,True,True,False,FC
Mike Muscala,True,True,False,FC
Mitchell Robinson,True,True,False,FC
Mo Bamba,True,False,False,C
Montrezl Harrell,True,True,False,FC
Moritz Wagner,True,True,False,FC
Moses Brown,True,False,False,C
Myles Turner,True,True,False,FC
Nathan Knight,True,True,False,FC
Naz Reid,True,True,False,FC
Nerlens Noel,True,True,False,FC
Nick Richards,True,False,False,C
Nicolas Claxton,True,True,False,FC
Nikola Jokic,True,False,False,C
Nikola Vucevic,True,False,False,C
Norvel Pelle,True,False,False,C
Onyeka Okongwu,True,True,False,FC
Reggie Perry,True,True,False,FC
Robert Williams III,True,True,False,FC
Robin Lopez,True,False,False,C
Rudy Gobert,True,False,False,C
Steven Adams,True,False,False,C
Tacko Fall,True,False,False,C
Thomas Bryant,True,True,False,FC
Thon Maker,True,True,False,FC
Tony Bradley,True,True,False,FC
Tristan Thompson,True,True,False,FC
Udoka Azubuike,True,True,False,FC
Vernon Carey Jr.,True,True,False,FC
Vincent Poirier,True,True,False,FC
Wendell Carter Jr.,True,True,False,FC
Will Magnay,True,False,False,C
Willie Cauley-Stein,True,False,False,C
Willy Hernangomez,True,True,False,FC
